"Complete","NNSPO","Item","NNSPart","Qty","Free Qty","Sales Ea","FWGPT","DeliveryDate","RcvdDate","Invoice","Invoice Date","Notes","Invoice Paid","UPS Tracking","Hours","Worker","Priority","#Boxes","FWGPO","Supplier","Order Date","EstShipDate","Cost Ea","InFreightCost","Misc Cost","Surcharge","Die Charge","Setup Cost","Labor Cost","Material Batch","Material Cure"
"True","4300034774","1","9779759","50","0","0.24","20998","10.01.2005","10.01.2005","30606","17.01.2005","shipping 1/13","False","","","","","","6148","Kitco / Wencor","21.11.2004","","0.12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300034774","2","9779978","100","0","0.51","20998","10.01.2005","10.01.2005","30606","17.01.2005","shipping 1/13","False","","","","","","6148","Kitco / Wencor","21.11.2004","04.01.2005","0.17","5.66","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300035012","1","9754374","50","0","7.34","20842","24.11.2004","11.11.2004","30266","12.11.2004","shipped","False","","","","","","6086","Garlock Metallic","22.10.2004","","4.75","5.46","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300035671","1","9754354","50","0","25.63","20997","14.01.2005","22.12.2004","30528","30.12.2004","","False","","","","","","6147","Garlock Metallic","21.11.2004","22.12.2004","16.02","7.65","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300035671","2","9754358","50","0","41.52","20997","14.01.2005","22.12.2004","30528","30.12.2004","","False","","","","","","6147","Garlock Metallic","21.11.2004","22.12.2004","25.95","7.65","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300036130","1","9779318","200","0","0.15","20994","17.01.2005","10.01.2005","30586","13.01.2005","shipping 1/13","False","","","","","","6148","Kitco / Wencor","21.11.2004","06.01.2005","0.11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300036730","1","9779422","10","0","3","21064","21.01.2005","04.01.2005","30534","10.01.2004","SHIPPING TO NNS 1/6","False","108668410002","","","","","6191","Kitco / Wencor","09.12.2004","","2.14","2","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300036730","2","9779319","100","0","0.15","21064","07.01.2005","04.01.2005","30534","10.01.2004","SHIPPING TO NNS 1/6","False","108668410002","","","","","6191","Kitco / Wencor","09.12.2004","06.01.2005","0.11","3.85","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300036886","1","9754378","50","0","8.36","21077","09.02.2005","27.01.2005","30719","07.02.2005","","False","1969186733","","","","","6190","Flexitallic","11.01.2005","","6.19","7.2","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037046","1","9779332","500","0","0.21","21090","05.01.2005","04.01.2005","30535","10.01.2004","SHIPPING TO NNS 1/6","False","108668410002864","","","","","6200","Kitco / Wencor","03.12.2004","06.01.2005","0.15","6.56","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037160","1","9754382","25","0","11.35","21508","25.04.2005","06.04.2005","31130","20.04.2005","ready to ship","False","1969191692","","","","0","6370","Flexitallic","17.03.2005","","8.41","23.87","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037160","2","9754376","150","0","6.1","21508","25.04.2005","06.04.2005","31130","20.04.2005","ready to ship","False","1969191692","","","","0","6370","Flexitallic","17.03.2005","","4.52","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037160","3","9754342","120","0","9.13","21508","25.04.2005","06.04.2005","31130","20.04.2005","ready to ship","False","1969191692","","","","0","6370","Flexitallic","17.03.2005","","6.76","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037672","1","9754344","60","0","11.34","21187","15.03.2005","21.01.2005","30689","28.01.2005","shipped 1/28","False","1969186138","","","","0","6237","Flexitallic","11.01.2005","","8.4","9.37","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300037673","1","9779327","400","0","0.18","21186","15.02.2005","15.02.2005","30778","16.02.2005","ship today, air","False","790921432783","","","","0","6236","Kitco / Wencor","11.01.2005","08.02.2005","0.13","5.95","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038166","1","9779389","200","0","0.62","21258","28.02.2005","26.01.2005","30779","16.02.2005","","False","108668410002949","","","","0","6265","Kitco / Wencor","25.01.2005","","0.44","6.86","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038624","1","9754350","50","0","17.82","21310","15.03.2005","24.02.2005","30918","10.03.2005","","False","1969188805","","","","0","6285","Flexitallic","03.02.2005","","13.2","11.07","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038625","1","9779385","50","0","0.7","21308","25.02.2005","15.02.2005","30780","16.02.2005","","False","108668410002949","","","","0","6286","Kitco / Wencor","04.02.2005","11.02.2005","0.35","7.32","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038625","2","9779325","100","0","0.17","21309","18.03.2005","10.03.2005","30917","10.03.2005","SHIP VIA AIR TO NNS","False","792226678786","","","","0","6286","Kitco / Wencor","04.02.2005","07.03.2005","0.12","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038625","3","9779328","300","0","0.18","21308","18.02.2005","15.02.2005","30780","16.02.2005","","False","108668410002949","","","","0","6286","Kitco / Wencor","04.02.2005","11.02.2005","0.13","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","",""
"True","4300038625","4","9779339","100","0","0.41","21308","18.02.2005","15.02.2005","30780","16.02.2005","","False","108668410002949","","","","0","6286","Kitco / Wencor","04.02.2005","11.02.2005","0.29","9.96","0.0000","0.0000","0.0000","0.0000","0.0000","",""
