Code,Description
09-1,"HIGH IMPACT ITEMS (LW, MW, AND HW), INTERNAL TO THE PRESSURE HULL"
09-10,ENVIRONMENTAL VIBRATION
09-7,SHOCK - SUPPLIER DE-OBLIGATION
10-107,ACCEPTABLE REPLACEMENTS FOR QQ-S-766
10-11,DEEP SUBMERGENCE SYS SCOPE OF CERTIFICAT
10-110,MODS TO QQ-N-286
10-122,MOD TO MIL-S-1222
10-123,STARTING MTRL FORMS FOR PRESSURE CONTAIN
10-126,ACCEPTABLE MATERIAL SUBSTITUTIONS
10-129,MIL-G-24716 SPEC CLASS DATA CROSS REFERE
10-131,ACCEPTABLE MIL-PRF/MIL-DTL MATERIAL SUBSTITUTIONS
10-15,EVAL VISUAL SURF INDICATIONS NON-FERROUS CSTG
10-18,REQUIRED ALLOYS TO QQ-C-390 ASTM SUBSTITUTIONS
10-32,CASTING QUALITY ASSURANCE REQUIREMENTS
10-51,WELDING MIL-STD-278 CLASS M2 CAT B
10-52,WELDING MIL-STD-278 CLASS M2 CAT C
10-53,WELDING - MIL-STD-278
10-54,WELDING - MIL-STD-278
10-65,NDT TO MIL-S-1222
10-67,MODS TO NAVSHIPS 0900-LP-003-8000
10-68,LOT DEFINITION MIL-S-1222 THD INSPECTION
10-69,NDT MIL-STD-271F CLASS UNSPECIFIED
10-70,NDT MIL-STD-271F ACCEPT TO MIL-STD-278F
10-71,MODS TO MIL-STD-278F
10-84,SHOCK TESTING PPD 802-6335704
10-87N,ITEMS HI SHOCK QUALIFIED FOR NSSN
10-87S,SHOCK QUALIFICATION
10-87V,VIBRATION TESTING
10-87W,SHOCK APPROVAL WAIVER
10-87WV,VIBRATION APPROVAL WAIVER
10-96,"MODIFICATION TO MIL-H-24135, MIL-H-24136, MIL-F-24787, AND/OR EB-3461"
10-99,"MODS TO MIL-T-16420, MIL-C-15726 AND/OR MIL-C-24679"
11-1,"SHOCK TESTING FOR INTERNAL HI LW, MW, AND HW ITEMS"
11-10,SHOCK TESTING IAW MIL-STD-901D
11-8,VIBRATION QUALIFICATION
12-15,MODIFICATION TO MIL-S-22698 PAINT REQUIREMENTS
12-19,MFGS SPECIAL CERT MIL-SPEC O-RINGS & RBR
12-22,CERTIFICATION IAW MS-18116
12-26,CERT FO SHELF LIFE IAW MIL-HDBK-695
12-3,SPECIAL CERT-SELLER USE EB FURNISHED MAT
12-34,DEEP SUBMERGENCE SYSTEMS - SCOPE OF  CER
12-4,CERT OF CONFORMANCE
12-41,CERTIFICATION TO STR-4P38
15-101,DOCUMENTATION INDEX LIST
15-102,COMPLETED DOCUMENTATION PACKAGE
15-113,DRAWING OPTIONS
15-115,LEVEL 3 DRAWINGS
15-116,LOGISTICS AND DESIGN VERIFICATION DRAWINGS
15-57,GENL CLEANLINESS REQS COMPONENTS
16-14,GEN HYDRAULIC COMPONENT CLEANLINESS
16-15,CLEANLINESS CRIT HYDR COMPONENT
16-16,CLEANLINESS STEAM PLANT COMPONENTS
16-21,CLEANLINESS CRITICAL HYDRAULIC COMPT
16-37,CLEANLINESS NON-CRITICAL HYDR COMPT
17-20,HAZARDOUS MATL SUBMITTAL
37-10,GOVT SOURCE INSPECTION
37-19,DD250 REQUIREMENTS
37-21,SHIPMENT OF TEST SAMPLES
37-3,ADVANCE WARNING EB SOURCE INSPECTION
37-3CP,CRITICAL PART
37-4,POST ELECTRIC BOAT SOURCE INSPECTION (EB
37-8B,EB SOURCE INSPECTION
38-4,NEWPORT NEWS USE ONLY THE PURCHASING ORI
45-1,MARKING OF CASTINGS
45-10,ADDITIONAL MARKING REQUIREMENTS
45-14,SELLER DESCRIPTIVE DATA REQUEST
45-25,SHELF LIFE CONTROL
45-26,"LEVEL I MATL & ASSYS, LEVEL 3 MATL & LEVEL N WELD & SILBRAZE FTGS-GENERIC MKG"
45-27,"LEVEL I, 3 & N  MATL, ASSYS & SILBRZ FTG"
45-37,MARKING REQS FOR MOUNTS
45-39,MARKING DECORATIVE LAMINATED PLASTIC
45-40,MARKING - SOCKET WELDED FITTINGS
45-41,MARKING NON-PRODUCTION MATERIAL
45-46,TRACEABILITY MARKING OF LVL 1 AND/OR
45-5,	MARKING PER FEDERAL STANDARD 182
45-50,NONDESTRUCTIVE TEST MARKING
45-51,MARKING OF STAINLESS STEEL FERRULES
45-63,MARKING REQUIREMENTS - DSS-SOC
45-64,MARKING REQUIREMENTS FOR EB-4013 INSULATION
45-8,MARKING REQS FOR EB CORP SUPPLIED MATERI
45-9,MARKING OF INSULATION MATERIAL ET AL
50-1,"MERCURY CONTAMINATION PROHIBITED, AND AS"
53-13,"CLEANING, PACKAGING, AND PACKING MIL-STD-767 & MIL-STD-2041"
53-14,PRESERVATION & PACKAGING REPAIR PARTS O60-11Dhttp://www.gdeb.com/suppliers/sect_4AEFFECTIVE
53-16,SHIPPING OF HOSES
53-19,PRESERVATION & INDIVIDUAL PACKAGING REPA
53-22,SHIPMENT OF MATERIAL ON PALLETS
