"RFQ","Item","NNSPart","Qty","Min","EstTargetDate","Cost","Markup","DeliveryTime","Supplier","Notes"
" 6000213046","8","1641555","150","150","1/2/2008","3.2","1.85","10 wks","Sepco",""
" 6000519668","1","262028657-0027","6","0","03/11/15","0.0000","1","","",""
" 6000519668","2","75-10-0007AA","1","0","02/10/15","0.0000","1","","",""
" 6000519668","3","75-10-0021","24","0","12/09/14","0.0000","1","","",""
"0013030114","1","135933","0","","","0.0000","1","","",""
"002115","1","5331-013413672","2","","","25","2","2-3 WKS","Hydrasearch","*$50 MIN. these parts will be less if purchase wtuh another order"
"072610","1","9779034","300","","8/30/2010","2.67","1.47","7-8 wks","Warco",""
"082410HG","1","DZ313946-PO-H-1","150","","10/15/2010","49.5","2.101","10-12 wks","Aircraft Seal & Gasket",""
"082410HG","2","DZ313946-PO-H-1","150","","10/15/2010","51.5","2.1165","10-12 wks","Aircraft Seal & Gasket",""
"1","1","","0","0","","0.0000","0","","",""
"1234567","1","5003604","22","22","12/12/2012","2.45","1.65","2 wks","Flexitallic","test"
"15169","001","MS28775-212","24","77","1/5/2007","0.13","3","10 wks","",""
"15169","002","MS28775-214","44","72","1/5/2007","0.14","3","10 wks","",""
"15169","003","MS28775-216","4","72","1/5/2007","0.14","3","10 wks","",""
"15169","004","3-912","8","","1/5/2007","0.0000","1","","",""
"15169","005","3D73104-001","16","","1/5/2007","0.0000","1","","",""
"15169","006","3D73104-002","8","","1/5/2007","0.0000","1","","",""
"15169","007","4D09950-015","24","","1/5/2007","0.0000","1","","",""
"15169","008","5D87137-001","8","","12/15/2006","9.38","1.1","10 wks","",""
"15169","009","5D87137-002","2","","12/15/2006","42.5","1.2","10 wks","",""
"15169","010","5D87137-003","2","","12/15/2006","27.5","1.5","10 wks","",""
"15169","011","6D60960-001","16","","1/5/2006","32.54","1.1","10 wks","",""
"15169","012","7516E69-013-908","4","","1/5/2006","0.0000","1","","",""
"15169","013","7516E69-013-908","2","","1/5/2006","0.0000","1","","",""
"15244","1","AS28778-4","6","","10/27/2006","0.0000","1","","",""
"15244","2","MS28775-212","10","77","10/27/2006","0.13","3","","Kitco / Wencor",""
"15244","3","MS28775-114","8","84","10/12/2006","0.12","3","","Kitco / Wencor",""
"15244","4","MS28775-217","8","63","10/12/2006","0.16","3","","Kitco / Wencor",""
"15244","5","MS28775-222","12","48","10/12/2006","0.21","3","","Kitco / Wencor",""
"15267","1","AS3209-114","462","","12/6/2006","0.21","1.5","8 wks","Kitco / Wencor",""
"15267","2","AS3209-225","54","","12/6/2006","0.75","2","8 wks","Kitco / Wencor",""
"15267","3","AS3209-232","60","100","12/6/2006","0.5926","1.5","9 wks","DBR Industries",""
"15267","4","AS3209-251","30","50","12/6/2006","1.1051","1.5","9 wks","DBR Industries",""
"15267","5","AS3551-013","18","195","12/6/2006","0.4117","1.5","9 wks","DBR Industries",""
"15320","1","M83248/1-212","40","","1/10/2007","0.4","3","6 wks","Kitco / Wencor",""
"15320","2","M83248/1-214","16","25","1/10/2007","0.4","4","6 wks","Kitco / Wencor",""
"15320","3","M83248/1-228","60","","1/10/2007","0.78","2","6 wks","Kitco / Wencor",""
"15376","1","3D73104-001","18","","1/31/2007","0.0000","1","","",""
"15376","2","3D73104-003","4","","3/30/2007","0.0000","1","","",""
"15376","3","6D61155-001","14","","3/1/2007","0.0000","1","","",""
"15462","1","AS3551-223","20","590","3/8/2007","0.7473","1.35","10 wks","DBR Industries",""
"15462","1a","mfr Test Chrg","1","","","300","1.1","10 wks","DBR Industries",""
"15544","1","M83248/1-214","96","","7/2/2007","0.4","3","6 wks","Kitco / Wencor",""
"15566","1","5D87137-001","8","0","5/29/2007","0.0000","1","","",""
"15566","10","5D87722-004","14","0","5/29/2007","53","1.3","14weeks","Basic Rubber & Plastic",""
"15566","11","5D87856-001","2","0","5/29/2007","78.88","2.25","5 weeks","FWG/Ilene",""
"15566","12","5D87856-002","2","0","5/29/2007","27.89","2.25","5 weeks","FWG/Ilene",""
"15566","13","5D87856-002","4","0","6/22/2007","27.89","2.25","5 weeks","FWG/Ilene",""
"15566","14","5D87856-003","4","0","6/22/2007","13.45","2.25","5 weeks","FWG/Ilene",""
"15566","15","5D87856-003","2","0","5/29/2007","13.45","2.25","5 weeks","FWG/Ilene",""
"15566","16","5D87856-004","2","0","5/29/2007","35.797","2.25","5 weeks","FWG/Ilene",""
